Year,NOC,Women,Men
2008,MYS,16,26
2008,NAM,5,6
2008,NER,2,2
2008,NGA,47,42
2008,NIC,3,4
2008,NLD,123,160
2008,NOR,59,43
2008,NPL,4,4
2008,NRU,0,1
2008,NZL,89,112
2008,OMN,1,3
2008,PAK,2,20
2008,PAN,2,3
2008,PER,6,7
2008,PHL,6,11
2008,PLE,2,2
2008,PLW,2,3
2008,PNG,4,5
2008,POL,135,181
2008,PRI,7,24
2008,PRK,44,22
2008,PRT,29,58
2008,PRY,4,3
2008,QAT,0,20
2008,ROU,88,84
2008,RUS,285,315
2008,RWA,2,2
2008,SAU,0,18
2008,SDN,4,5
2008,SEN,7,10
2008,SGP,23,13
2008,SLB,2,1
2008,SLE,1,2
2008,SLV,10,4
2008,SMR,2,2
2008,SOM,1,1
2008,SRB,27,70
2008,STP,1,3
2008,SUR,2,2
2008,SVK,28,39
2008,SVN,27,46
2008,SWE,97,72
2008,SWZ,2,2
2008,SYC,3,7
2008,SYR,1,6
2008,TCD,1,1
2008,TGO,1,3
2008,THA,30,23
2008,TJK,3,13
2008,TKM,4,6
2008,TLS,1,0
2008,TON,1,2
2008,TPE,44,48
2008,TTO,13,22
2008,TUN,12,17
2008,TUR,21,50
2008,TUV,1,2
2008,TZA,2,7
2008,UGA,2,9
2008,UKR,166,161
2008,URY,3,10
2008,USA,366,397
2008,UZB,20,49
2008,VCT,1,1
2008,VEN,58,68
2008,VGB,1,1
2008,VIR,2,6
2008,VNM,10,8
2008,VUT,2,1
2008,WSM,2,5
2008,YEM,1,7
2008,ZAF,80,99
2008,ZMB,2,6
2008,ZWE,8,8
2010,ALB,0,2
2010,AND,7,13
2010,ARG,12,8
2010,ARM,3,3
2010,AUS,23,26
2010,AUT,41,91
2010,AZE,2,2
2010,BEL,4,6
2010,BGR,15,26
2010,BIH,7,3
2010,BLR,42,53
2010,BMU,0,1
2010,BRA,4,3
2010,CAN,138,170
2010,CHE,66,124
2010,CHL,5,5
2010,CHN,83,44
2010,COL,2,0
2010,CYM,0,1
2010,CYP,2,2
2010,CZE,52,120
2010,DEU,105,154
2010,DNK,10,13
2010,DZA,0,1
2010,ESP,15,20
2010,EST,27,37
2010,ETH,0,1
2010,FIN,53,93
2010,FRA,71,125
2010,GBR,30,48
2010,GEO,4,5
2010,GHA,0,1
2010,GRC,5,7
2010,HKG,3,0
2010,HRV,10,27
2010,HUN,21,11
2010,IND,0,3
2010,IRL,4,3
2010,IRN,2,5
2010,ISL,2,5
2010,ISR,1,3
2010,ITA,80,128
2010,JAM,0,1
2010,JPN,72,81
2010,KAZ,48,52
2010,KGZ,1,2
2010,KOR,35,49
2010,LBN,4,2
2010,LIE,1,4
2010,LTU,5,8
2010,LVA,20,61
2010,MAR,0,2
2010,MCO,4,2
2010,MDA,4,7
2010,MEX,0,2
2010,MKD,1,3
2010,MNE,0,2
2010,MNG,1,1
2010,NLD,35,30
2010,NOR,55,135
2010,NPL,0,1
2010,NZL,9,13
2010,PAK,0,1
2010,PER,2,3
2010,POL,61,45
2010,PRK,2,1
2010,PRT,0,1
2010,ROU,28,21
2010,RUS,126,153
2010,SEN,0,2
2010,SMR,0,1
2010,SRB,8,7
2010,SVK,43,64
2010,SVN,46,61
2010,SWE,80,92
2010,TJK,0,4
2010,TPE,0,1
2010,TUR,6,3
2010,UKR,51,44
2010,USA,145,196
2010,UZB,3,2
2010,ZAF,0,2
2012,ABW,1,3
2012,AFG,1,5
2012,AGO,29,6
2012,ALB,3,7
2012,AND,2,4
2012,ARE,2,24
2012,ARG,45,103
2012,ARM,4,27
2012,ASM,1,3
2012,ATG,2,2
2012,AUS,243,271
2012,AUT,38,52
2012,AZE,16,43
2012,BDI,4,2
2012,BEL,49,93
2012,BEN,1,4
2012,BFA,3,2
2012,BGD,1,6
2012,BGR,36,39
2012,BHS,13,16
2012,BIH,2,6
2012,BLR,86,99
2012,BLZ,1,2
2012,BMU,3,5
2012,BOL,2,3
2012,BRA,144,162
2012,BRB,0,8
2012,BRN,11,6
2012,BTN,2,0
2012,BWA,1,3
2012,CAF,3,3
2012,CAN,208,146
2012,CHE,37,89
2012,CHL,18,26
2012,CHN,267,212
2012,CIV,6,4
2012,CMR,22,10
2012,COD,1,3
2012,COG,3,4
2012,COK,5,4
2012,COL,64,56
2012,COM,2,1
2012,CPV,2,1
2012,CRI,3,8
2012,CUB,48,70
2012,CYM,0,7
2012,CYP,4,9
2012,CZE,78,81
2012,DEU,231,279
2012,DJI,2,2
2012,DMA,1,1
2012,DNK,73,76
2012,DOM,21,15
2012,DZA,17,22
2012,ECU,13,23
2012,EGY,45,87
2012,ERI,1,11
2012,ESP,136,203
2012,EST,11,25
2012,ETH,16,18
2012,FIN,37,32
2012,FJI,3,6
2012,FRA,183,243
2012,FSM,2,4
2012,GAB,2,19
2012,GBR,334,350
2012,GEO,8,28
2012,GHA,2,5
2012,GIN,2,2
2012,GMB,1,1
2012,GNB,2,2
2012,GNQ,1,1
2012,GRC,45,70
2012,GRD,3,5
2012,GTM,10,14
2012,GUM,3,5
2012,GUY,2,4
2012,HKG,29,26
2012,HND,3,22
2012,HRV,49,69
2012,HTI,2,3
2012,HUN,88,113
2012,IDN,9,13
2012,IND,29,66
2012,IOA,1,3
2012,IRL,34,42
2012,IRN,11,46
2012,IRQ,3,5
2012,ISL,12,24
2012,ISR,23,33
2012,ITA,170,212
2012,JAM,33,29
2012,JOR,4,5
2012,JPN,200,199
2012,KAZ,47,85
2012,KEN,22,29
2012,KGZ,3,12
2012,KHM,3,3
2012,KIR,1,2
2012,KNA,0,7
2012,KOR,136,176
2012,KWT,3,9
2012,LAO,1,2
2012,LBN,7,3
2012,LBR,2,1
2012,LBY,1,3
2012,LCA,3,1
2012,LIE,3,1
2012,LKA,3,5
2012,LSO,2,2
2012,LTU,30,42
2012,LUX,4,7
2012,LVA,14,36
2012,MAR,19,48
2012,MCO,1,5
2012,MDA,8,12
2012,MDG,4,3
2012,MDV,2,3
2012,MEX,45,74
2012,MHL,2,2
2012,MKD,2,2
2012,MLI,2,4
2012,MLT,2,3
2012,MMR,3,3
2012,MNE,15,19
2012,MNG,14,18
2012,MOZ,2,4
2012,MRT,1,1
2012,MUS,7,4
2012,MWI,2,1
2012,MYS,16,22
2012,NAM,4,5
2012,NER,2,4
2012,NGA,28,30
2012,NIC,3,3
2012,NLD,105,117
2012,NOR,32,37
2012,NPL,3,2
2012,NRU,0,2
2012,NZL,94,110
2012,OMN,1,2
2012,PAK,2,19
2012,PAN,2,6
2012,PER,7,9
2012,PHL,4,7
2012,PLE,2,3
2012,PLW,3,2
2012,PNG,4,4
2012,POL,111,145
2012,PRI,9,19
2012,PRK,40,17
2012,PRT,42,56
2012,PRY,4,6
2012,QAT,5,9
2012,ROU,73,82
2012,RUS,283,266
2012,RWA,2,5
2012,SAU,2,21
2012,SDN,2,4
2012,SEN,7,25
2012,SGP,24,12
2012,SLB,2,2
2012,SLE,1,1
2012,SLV,6,5
2012,SMR,3,1
2012,SOM,1,1
2012,SRB,42,92
2012,STP,1,1
2012,SUR,2,3
2012,SVK,30,35
2012,SVN,48,30
2012,SWE,102,66
2012,SWZ,1,2
2012,SYC,2,4
2012,SYR,4,6
2012,TCD,2,0
2012,TGO,2,4
2012,THA,21,22
2012,TJK,3,13
2012,TKM,3,7
2012,TLS,1,1
2012,TON,1,2
2012,TPE,33,22
2012,TTO,12,26
2012,TUN,21,66
2012,TUR,67,52
2012,TUV,1,2
2012,TZA,2,4
2012,UGA,4,12
2012,UKR,143,161
2012,URY,3,24
2012,USA,343,346
2012,UZB,19,37
2012,VCT,1,2
2012,VEN,36,49
2012,VGB,1,1
2012,VIR,5,4
2012,VNM,16,8
2012,VUT,2,3
2012,WSM,3,6
2012,YEM,1,3
2012,ZAF,61,84
2012,ZMB,2,5
2012,ZWE,5,4
2014,ALB,2,0
2014,AND,5,7
2014,ARG,9,11
2014,ARM,1,5
2014,AUS,43,41
2014,AUT,74,139
2014,AZE,1,3
2014,BEL,5,6
2014,BGR,10,37
2014,BIH,5,9
2014,BLR,30,42
2014,BMU,0,1
2014,BRA,10,7
2014,CAN,158,201
2014,CHE,94,125
2014,CHL,6,8
2014,CHN,66,43
2014,CYM,0,2
2014,CYP,0,2
2014,CZE,64,115
2014,DEU,126,145
2014,DMA,0,1
2014,DNK,4,11
2014,ESP,11,28
2014,EST,20,46
2014,FIN,52,95
2014,FRA,74,127
2014,GBR,31,47
2014,GEO,3,4
2014,GRC,3,10
2014,HKG,0,1
2014,HRV,9,16
2014,HUN,22,15
2014,IND,0,2
2014,IOA,0,1
2014,IRL,2,6
2014,IRN,2,5
2014,ISL,5,6
2014,ISR,1,5
2014,ITA,96,131
2014,JAM,0,2
2014,JPN,96,75
2014,KAZ,41,74
2014,KGZ,0,2
2014,KOR,54,76
2014,LBN,1,2
2014,LIE,1,4
2014,LTU,11,9
2014,LUX,0,1
2014,LVA,13,69
2014,MAR,2,2
2014,MCO,2,9
2014,MDA,2,3
2014,MEX,0,1
2014,MKD,1,5
2014,MLT,2,0
2014,MNE,1,2
2014,MNG,1,1
2014,NLD,41,41
2014,NOR,77,142
2014,NPL,0,1
2014,NZL,8,10
2014,PAK,0,1
2014,PER,2,3
2014,PHL,0,1
2014,POL,73,76
2014,PRT,2,2
2014,PRY,1,0
2014,ROU,15,25
2014,RUS,152,201
2014,SMR,1,1
2014,SRB,5,12
2014,SVK,41,74
2014,SVN,41,75
2014,SWE,64,84
2014,TGO,3,0
2014,THA,1,2
2014,TJK,0,1
2014,TLS,0,1
2014,TON,0,1
2014,TPE,0,5
2014,TUR,6,5
2014,UKR,56,45
2014,USA,158,209
2014,UZB,2,3
2014,VEN,0,1
2014,VGB,0,1
2014,VIR,2,0
2014,ZWE,0,2
2016,ABW,4,3
2016,AFG,1,2
2016,AGO,18,8
2016,ALB,3,3
2016,AND,2,2
2016,ARE,3,9
2016,ARG,82,150
2016,ARM,10,24
2016,ASM,1,3
2016,ATG,2,7
2016,AUS,263,255
2016,AUT,40,45
2016,AZE,16,53
2016,BDI,4,6
2016,BEL,53,85
2016,BEN,2,4
2016,BFA,2,3
2016,BGD,3,4
2016,BGR,25,33
2016,BHS,17,21
2016,BIH,4,7
2016,BLR,77,65
2016,BLZ,1,2
2016,BMU,4,4
2016,BOL,6,6
2016,BRA,259,324
2016,BRB,5,8
2016,BRN,14,22
2016,BTN,2,0
2016,BWA,3,11
2016,CAF,3,3
2016,CAN,254,151
2016,CHE,61,91
2016,CHL,21,26
2016,CHN,295,204
2016,CIV,9,6
2016,CMR,17,5
2016,COD,2,2
2016,COG,3,7
2016,COK,5,4
2016,COL,76,81
2016,COM,2,2
2016,CPV,3,2
2016,CRI,5,7
2016,CUB,43,100
2016,CYM,2,3
2016,CYP,7,14
2016,CZE,56,79
2016,DEU,246,290
2016,DJI,1,7
2016,DMA,1,1
2016,DNK,61,82
2016,DOM,8,22
2016,DZA,13,61
2016,ECU,16,24
2016,EGY,46,91
2016,ERI,1,11
2016,ESP,172,191
2016,EST,21,28
2016,ETH,21,17
2016,FIN,33,34
2016,FJI,17,36
2016,FRA,217,295
2016,FSM,3,2
2016,GAB,2,4
2016,GBR,212,266
2016,GEO,14,31
2016,GHA,8,7
2016,GIN,3,2
2016,GMB,1,3
2016,GNB,2,3
2016,GNQ,0,1
2016,GRC,37,67
2016,GRD,1,5
2016,GTM,10,15
2016,GUM,2,3
2016,GUY,4,3
2016,HKG,30,17
2016,HND,1,22
2016,HRV,24,69
2016,HTI,3,7
2016,HUN,90,114
2016,IDN,11,20
2016,IND,62,68
2016,IOA,1,8
2016,IRL,31,62
2016,IRN,11,56
2016,IRQ,0,20
2016,ISL,10,4
2016,ISR,31,28
2016,ITA,186,213
2016,JAM,43,34
2016,JOR,1,7
2016,JPN,209,227
2016,KAZ,57,66
2016,KEN,34,46
2016,KGZ,7,12
2016,KHM,4,2
2016,KIR,1,2
2016,KNA,1,8
2016,KOR,118,145
2016,LAO,2,3
2016,LBN,5,4
2016,LBR,1,2
2016,LBY,1,6
2016,LCA,3,2
2016,LIE,2,1
2016,LKA,2,8
2016,LSO,1,8
2016,LTU,20,60
2016,LUX,7,8
2016,LVA,13,20
2016,MAR,21,31
2016,MCO,0,8
2016,MDA,9,14
2016,MDG,4,2
2016,MDV,2,2
2016,MEX,56,83
2016,MHL,3,2
2016,MKD,4,2
2016,MLI,2,4
2016,MLT,4,4
2016,MMR,3,5
2016,MNE,18,17
2016,MNG,20,26
2016,MOZ,1,7
2016,MRT,1,1
2016,MUS,6,5
2016,MWI,2,3
2016,MYS,19,23
2016,NAM,6,5
2016,NER,2,4
2016,NGA,28,49
2016,NIC,2,3
2016,NLD,176,153
2016,NOR,37,40
2016,NPL,4,3
2016,NRU,0,2
2016,NZL,114,118
2016,OMN,2,2
2016,PAK,3,4
2016,PAN,9,5
2016,PER,15,19
2016,PHL,6,7
2016,PLE,2,4
2016,PLW,3,3
2016,PNG,2,6
2016,POL,125,164
2016,PRI,28,13
2016,PRK,25,13
2016,PRT,34,72
2016,PRY,5,6
2016,QAT,2,40
2016,ROT,5,7
2016,ROU,75,46
2016,RUS,203,203
2016,RWA,3,4
2016,SAU,3,8
2016,SDN,2,4
2016,SEN,16,6
2016,SGP,20,12
2016,SLB,2,1
2016,SLE,2,2
2016,SLV,3,7
2016,SMR,2,2
2016,SOM,1,1
2016,SRB,62,73
2016,SSD,1,2
2016,STP,1,2
2016,SUR,2,4
2016,SVK,24,39
2016,SVN,29,41
2016,SWE,112,74
2016,SWZ,1,1
2016,SYC,2,8
2016,SYR,3,4
2016,TCD,1,1
2016,TGO,3,2
2016,THA,30,28
2016,TJK,2,5
2016,TKM,5,4
2016,TLS,2,1
2016,TON,3,4
2016,TPE,36,31
2016,TTO,18,25
2016,TUN,21,44
2016,TUR,54,65
2016,TUV,0,1
2016,TZA,2,5
2016,UGA,8,15
2016,UKR,145,127
2016,URY,5,12
2016,USA,369,350
2016,UZB,27,53
2016,VCT,2,2
2016,VEN,29,76
2016,VGB,3,1
2016,VIR,2,5
2016,VNM,16,12
2016,VUT,0,4
2016,WSM,4,5
2016,YEM,1,2
2016,ZAF,46,109
2016,ZMB,2,5
2016,ZWE,22,9
